Ajit Singh,Elected,18-May-09,In office,Uttar Pradesh,Baghpat,Rashtriya Lok Dal,Male,Post Graduate,"B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",74,2,0,0,44%,"This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",20.2,0.4,160,76%,24.3,0.3,131,80%
Akhilesh Yadav,Elected,18-May-09,02-05-2012,Uttar Pradesh,Kannauj,Samajwadi Party,Male,Post Graduate,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",40,4,0,0,53%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),24.6,0.6,183,76%,28.8,0.4,152,80%
Amarnath Pradhan,Elected,18-May-09,In office,Orissa,Sambalpur,Indian National Congress,Male,Graduate,"B.A., Utkal University, Bhubaneswar, Orissa",55,24,0,165,87%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Ambica Banerjee,Elected,18-May-09,25-04-2013,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,"Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",85,3,0,154,60%,Complete attendance for this MP is not available (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),33.3,0.8,258,76%,39.1,0.8,156,72%
Anand Prakash Paranjpe,Elected,18-May-09,In office,Maharashtra,Kalyan,Shiv Sena,Male,Post Graduate,"B.E., M.B.A.; Educated at Pune University, Maharashtra",40,11,0,777,68%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
Anandrao Adsul,Elected,18-May-09,In office,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",66,35,3,1170,75%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
Anant Gangaram Geete,Elected,18-May-09,In office,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",62,54,1,10,73%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
Anant Kumar Hegde,Elected,18-May-09,In office,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",45,14,2,555,73%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,20.2,0.2,323,68%
Ananth Kumar,Elected,18-May-09,In office,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",54,21,0,212,85%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,20.2,0.2,323,68%
Anantha Venkatarami Reddy,Elected,18-May-09,In office,Andhra Pradesh,Anantapur,Indian National Congress,Male,Post Graduate,"M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",57,14,0,545,73%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,19.5,0.4,321,68%
Andimuthu Raja,Elected,18-May-09,In office,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,Male,Post Graduate,"B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",50,0,0,0,35%,"This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",24.4,0.5,195,76%,32.1,0.3,266,69%
Anirudhan Sampath,Elected,18-May-09,In office,Kerala,Attingal,Communist Party of India (Marxist),Male,Post Graduate,M.A. (Eco) L.L.M (Constt. Law),51,90,1,366,77%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,67.1,1.4,382,79%
Annu Tandon,Elected,18-May-09,In office,Uttar Pradesh,Unnao,Indian National Congress,Female,Graduate,"B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",56,30,0,284,93%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Anto Antony,Elected,18-May-09,In office,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",56,78,0,550,87%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,67.1,1.4,382,79%
Anup Kumar Saha,Elected,18-May-09,In office,West Bengal,Bardhaman Purba,Communist Party of India (Marxist),Male,Doctorate,"M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",57,20,0,95,88%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.5,0.8,167,72%
Anurag Singh Thakur,Elected,18-May-09,In office,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",39,64,1,540,84%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,82.9,0.6,315,93%
Arjun Charan Sethi,Elected,18-May-09,In office,Orissa,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",72,49,0,199,85%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Arjun Munda,Elected,18-May-09,26-02-2011,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Graduate,"Graduate, Diploma in Social Science; Educated at IGNOU",45,3,0,152,43%,Complete attendance for this MP is not available (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),13.1,0.3,108,76%,9.8,0.2,103,67%
Arjun Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",59,416,20,675,99%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,49.1,1,283,88%
Arjun Roy,Elected,18-May-09,In office,Bihar,Sitamarhi,Janata Dal (United),Male,Doctorate,"Ph.D; Educated at University of Bihar, Bihar",41,27,0,326,91%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Arun Subhashchandra Yadav,Elected,18-May-09,In office,Madhya Pradesh,Khandwa,Indian National Congress,Male,Graduate,"B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",39,4,0,25,62%,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",20.6,0.4,162,76%,27.9,0.4,136,82%
Aruna Kumar Vundavalli,Elected,18-May-09,In office,Andhra Pradesh,Rajahmundry,Indian National Congress,Male,Graduate,"B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",59,19,0,33,94%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,19.5,0.4,321,68%
Arvind Kumar Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Basti,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,49,4,0,151,96%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Arvind Kumar Sharma,Elected,18-May-09,In office,Haryana,Karnal,Indian National Congress,Male,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",50,17,0,92,70%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,12,0.1,210,68%
Asaduddin Owaisi,Elected,18-May-09,In office,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",44,40,1,1042,70%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,19.5,0.4,321,68%
Ashok Argal,Elected,18-May-09,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Morena Board of Secondary Education, Madhya Pradesh",44,86,0,178,92%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,44.4,0.4,222,82%
Ashok Kumar Rawat,Elected,18-May-09,In office,Uttar Pradesh,Misrikh,Bahujan Samaj Party,Male,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",38,42,0,752,86%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Ashok Tanwar,Elected,18-May-09,In office,Haryana,Sirsa,Indian National Congress,Male,Post Graduate,"M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",37,4,0,197,80%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,12,0.1,210,68%
Ashwamedh Devi,Elected,18-May-09,In office,Bihar,Ujiarpur,Janata Dal (United),Female,Under Matric,"Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",46,9,0,120,89%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Asrarul Haque Mohammad,Elected,18-May-09,In office,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",71,17,0,56,94%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Avtar Singh Bhadana,Elected,18-May-09,In office,Haryana,Faridabad,Indian National Congress,Male,Under Matric,,55,11,0,210,47%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,12,0.1,210,68%
Awale Jaywant Gangaram,Elected,18-May-09,In office,Maharashtra,Latur,Indian National Congress,Male,Inter/ Higher Secondary,,73,51,0,328,91%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
Babu Lal Marandi,Elected,18-May-09,In office,Jharkhand,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),Male,Graduate,"Educated at Ranchi University, Ranchi, Jharkhand",55,2,0,0,29%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,37.5,0.8,236,67%
Badri Ram Jakhar,Elected,18-May-09,In office,Rajasthan,Pali,Indian National Congress,Male,Under Matric,,61,23,0,484,89%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,49.1,1,283,88%
Badruddin Ajmal,Elected,18-May-09,In office,Assam,Dhubri,Assam United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",63,25,0,284,49%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,21,0.5,78,81%
Baidyanath Prasad Mahto,Elected,18-May-09,In office,Bihar,Valmiki Nagar,Janata Dal (United),Male,Matric,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",66,27,0,291,93%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Baijayant Jay Panda,Elected,18-May-09,In office,Orissa,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",49,17,12,840,66%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Baju Ban Riyan,Elected,18-May-09,In office,Tripura,Tripura East,Communist Party of India (Marxist),Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",72,6,0,0,85%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,20,0.5,143,80%
Bal Kumar Patel,Elected,18-May-09,In office,Uttar Pradesh,Mirzapur,Samajwadi Party,Male,Inter/ Higher Secondary,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",49,10,0,268,82%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Baliram,Elected,18-May-09,In office,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",59,50,0,326,94%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Baliram Kashyap,Elected,18-May-09,09-03-2011,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Under Matric,,77,0,0,0,1%,Complete attendance for this MP is not available (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),14.4,0.3,114,76%,5.2,0,52,61%
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Gujarat,Vadodara,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",50,25,1,233,66%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,38.9,1.4,356,77%
Bansagopal Chowdhury,Elected,18-May-09,In office,West Bengal,Asansol,Communist Party of India (Marxist),Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",53,24,0,43,61%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.5,0.8,167,72%
Bapiraju Kanumuri,Elected,18-May-09,In office,Andhra Pradesh,Narsapuram,Indian National Congress,Male,Inter/ Higher Secondary,Educated at Hyderabad Public School,66,10,0,0,87%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,19.5,0.4,321,68%
Basori Singh Masram,Elected,18-May-09,In office,Madhya Pradesh,Mandla,Indian National Congress,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",68,1,0,10,85%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,44.4,0.4,222,82%
Basudeb Acharia,Elected,18-May-09,In office,West Bengal,Bankura,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",71,139,7,211,88%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.5,0.8,167,72%
Beni Prasad Verma,Elected,18-May-09,In office,Uttar Pradesh,Gonda,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",72,2,0,0,99%,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",12.5,0.3,103,76%,15.5,0.2,78,80%
Bhajan Lal,Elected,18-May-09,03-06-2011,Haryana,Hisar,Haryana Janhit Congress,Male,Inter/ Higher Secondary,"Educated at Government College, Bahawal Nagar (Now in Pakistan) ",83,0,0,0,39%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),15.9,0.4,119,76%,3.9,0,63,68%
Bhakta Charan Das,Elected,18-May-09,In office,Orissa,Kalahandi,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",55,48,1,243,90%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Bharat Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Ganganagar,Indian National Congress,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",57,18,0,189,91%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,49.1,1,283,88%
Bharatsinh Madhavsinh Solanki,Elected,18-May-09,In office,Gujarat,Anand,Indian National Congress,Male,Graduate,B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay,60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bhartruhari Mahtab,Elected,18-May-09,In office,Orissa,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",56,227,1,335,94%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,19,0,347,69%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Uttar Pradesh,Sant Kabir Nagar,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,53,40,0,479,78%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
Bhola Singh,Elected,18-May-09,In office,Bihar,Nawada,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",78,103,10,367,94%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Bhoopendra Singh,Elected,18-May-09,In office,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Graduate,L.L.B.; Educated at Sagar University (Madhya Pradesh) ,53,27,4,625,71%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,44.4,0.4,222,82%
Bhudeo Choudhary,Elected,18-May-09,In office,Bihar,Jamui,Janata Dal (United),Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",53,33,0,417,86%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,43.3,0.7,310,88%
Bibhu Prasad Tarai,Elected,18-May-09,In office,Orissa,Jagatsinghpur,Communist Party of India,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",49,25,0,220,82%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,33.9,0.9,362,75%
Bijoy Krishna Handique,Elected,18-May-09,In office,Assam,Jorhat,Indian National Congress,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",78,0,0,1,92%,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",20.6,0.4,162,76%,12.4,0.4,47,81%
Bijoya Chakravarty,Elected,18-May-09,In office,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",74,36,4,47,84%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,21,0.5,78,81%
Biren Singh Engti,Elected,18-May-09,In office,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",68,2,0,0,96%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,21,0.5,78,81%
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",63,80,1,211,77%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,80,1,211,77%
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Uttar Pradesh,Kaiserganj,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",56,20,0,179,86%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.3,0.4,238,80%
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",77,2,0,10,96%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,2,0,10,96%
C. M. Chang,Elected,18-May-09,21-09-2013,Nagaland,Nagaland,Nagaland People's Front,Male,Graduate,"B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",70,1,0,33,78%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,1,0,33,78%
C. P. Joshi,Elected,18-May-09,In office,Rajasthan,Bhilwara,Indian National Congress,Male,Doctorate,"M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",63,0,0,0,95%,"This MP was a Minister. He tendered her resignation on 16th Juner, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th August, 2013 (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",2.9,0,16,76%,3.2,0,17,88%
C. R. Patil,Elected,18-May-09,In office,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",58,20,2,421,79%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,38.9,1.4,356,77%
